"Reference","Value","Footprint","DNP","LCSC","DigiKeyNr"
"C1,C3,C9,C17,C18,C20,C21,C22","10uF","Capacitor_SMD:C_0402_1005Metric","","C15525",""
"C2,C4,C5,C8,C10,C11,C12,C13,C14,C16,C19,C27","100nF","Capacitor_SMD:C_0402_1005Metric","","C1525",""
"C6,C7","10pF","Capacitor_SMD:C_0402_1005Metric","","C1557",""
"C15,C29","1uF","Capacitor_SMD:C_0402_1005Metric","","C52923",""
"C23,C24","27pF","Capacitor_SMD:C_0402_1005Metric","","C1557",""
"C28,C31,C32","47uF","Capacitor_SMD:C_0805_2012Metric","","C16780",""
"C30","4.7uF","Capacitor_SMD:C_0402_1005Metric","","C23733",""
"D1","GS2005ELD","Diode_SMD:D_SOD-923","","C91106",""
"Q1,Q2","MMBT5551L","Package_TO_SOT_SMD:SOT-23","","C41095",""
"R1,R15,R16,R17","12K","Resistor_SMD:R_0402_1005Metric","","C25752",""
"R2","27K","Resistor_SMD:R_0402_1005Metric","","",""
"R3,R4,R5","100k","Resistor_SMD:R_0402_1005Metric","","",""
"R6","10k","Resistor_SMD:R_0402_1005Metric","","",""
"R7","1k","Resistor_SMD:R_0402_1005Metric","","",""
"R8","22k","Resistor_SMD:R_0402_1005Metric","","",""
"R11,R12","33","Resistor_SMD:R_0402_1005Metric","","",""
"R18,R19","100K","Resistor_SMD:R_0402_1005Metric","","",""
"R22","47k","Resistor_SMD:R_0402_1005Metric","","",""
"R23,R24","56k","Resistor_SMD:R_0402_1005Metric","","",""
"TH1","0.02A","Resistor_SMD:R_0603_1608Metric","","C914089",""
"U4","CP2102N-A02-GQFN24","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","","C969151",""
"U5","CM108B","Package_QFP:LQFP-48_7x7mm_P0.5mm","","C371347",""
"U6","ADM3101E","Package_DFN_QFN:QFN-12-1EP_3x3mm_P0.51mm_EP1.45x1.45mm","","C514336",""
"U7","PCF8523T","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","C2651516",""
"U9","TPS2553-1","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","","C411878 ",""
"U10","USBLC6-2P6","Package_TO_SOT_SMD:SOT-666","","C15999",""
"U11","CH334P","Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias","","C5373042",""
"Y1","12MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","","C20617575",""
"Y2","32,768 kHz","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","","C97604 ",""
